Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
1.056,-0.065,0.0585,0.124,0.003,-0.0945,0.0915,-0.3905,-0.3425,-0.347,-0.3185,-0.272,-0.037
1.057,-0.068,0.051,0.119,0.008,-0.093,0.0855,-0.3895,-0.344,-0.346,-0.3135,-0.2695,-0.032
1.058,-0.073,0.057,0.13,0.0075,-0.1015,0.094,-0.388,-0.3395,-0.3405,-0.308,-0.2665,-0.03
1.059,-0.0675,0.0655,0.133,0.001,-0.1005,0.0995,-0.3895,-0.34,-0.3425,-0.307,-0.266,-0.027
1.06,-0.055,0.0665,0.121,-0.006,-0.0875,0.094,-0.3965,-0.3475,-0.349,-0.3155,-0.275,-0.039
1.061,-0.0525,0.0685,0.1205,-0.008,-0.0865,0.0945,-0.399,-0.351,-0.35,-0.317,-0.279,-0.0345
1.062,-0.0515,0.0605,0.112,-0.0045,-0.082,0.0865,-0.403,-0.355,-0.353,-0.316,-0.2755,-0.0275
1.063,-0.049,0.052,0.101,-0.002,-0.075,0.077,-0.406,-0.3585,-0.354,-0.3165,-0.2725,-0.032
1.064,-0.053,0.038,0.091,0.007,-0.072,0.0645,-0.407,-0.3665,-0.363,-0.3235,-0.274,-0.0285
1.065,-0.07,0.042,0.112,0.014,-0.091,0.077,-0.4165,-0.3865,-0.381,-0.3395,-0.284,-0.0425
1.066,-0.0785,0.059,0.1375,0.0095,-0.108,0.0985,-0.4285,-0.4075,-0.3995,-0.355,-0.3025,-0.056
1.067,-0.075,0.057,0.132,0.0085,-0.1035,0.0945,-0.4265,-0.408,-0.402,-0.3575,-0.303,-0.053
1.068,-0.066,0.0515,0.1175,0.007,-0.092,0.085,-0.4205,-0.398,-0.392,-0.347,-0.284,-0.0465
1.069,-0.061,0.0475,0.1085,0.0065,-0.0845,0.078,-0.4155,-0.3905,-0.3865,-0.3385,-0.2805,-0.0405
1.07,-0.066,0.0465,0.113,0.009,-0.0895,0.08,-0.4085,-0.386,-0.375,-0.3305,-0.276,-0.0355
1.071,-0.0615,0.0445,0.1065,0.0085,-0.084,0.0755,-0.4095,-0.381,-0.3715,-0.3255,-0.267,-0.0305
1.072,-0.0565,0.0395,0.096,0.0085,-0.0765,0.068,-0.418,-0.3775,-0.3735,-0.325,-0.266,-0.0265
1.073,-0.0585,0.0315,0.09,0.0135,-0.074,0.061,-0.4235,-0.3855,-0.3735,-0.3285,-0.2665,-0.029
1.074,-0.057,0.0335,0.0905,0.0115,-0.0735,0.062,-0.42,-0.3845,-0.376,-0.3305,-0.273,-0.0315
1.075,-0.0515,0.0395,0.091,0.0055,-0.071,0.0655,-0.421,-0.386,-0.3785,-0.334,-0.276,-0.033
1.076,-0.0445,0.024,0.0685,0.01,-0.0565,0.0465,-0.419,-0.384,-0.377,-0.3325,-0.2695,-0.0355
1.077,-0.047,0.0155,0.0625,0.0155,-0.055,0.0395,-0.42,-0.385,-0.3805,-0.3355,-0.2725,-0.033
1.078,-0.0465,0.0125,0.059,0.017,-0.0525,0.036,-0.422,-0.3955,-0.3905,-0.3425,-0.275,-0.034
1.079,-0.045,0.0095,0.0545,0.0175,-0.0495,0.0325,-0.421,-0.3905,-0.39,-0.3435,-0.273,-0.0315
1.08,-0.047,0.002,0.049,0.022,-0.048,0.0255,-0.423,-0.3915,-0.3915,-0.347,-0.2775,-0.0345
1.081,-0.038,-0.0065,0.0315,0.022,-0.0345,0.0125,-0.422,-0.3935,-0.395,-0.3525,-0.2835,-0.046
1.082,-0.034,-0.006,0.028,0.02,-0.031,0.011,-0.423,-0.3935,-0.395,-0.356,-0.284,-0.0435
1.083,-0.037,-0.0075,0.0295,0.022,-0.033,0.011,-0.4235,-0.395,-0.396,-0.356,-0.2775,-0.042
1.084,-0.0385,-0.0075,0.031,0.023,-0.035,0.012,-0.4275,-0.3965,-0.4005,-0.36,-0.2795,-0.051
1.085,-0.0495,-0.015,0.034,0.032,-0.042,0.01,-0.4315,-0.4005,-0.4055,-0.3625,-0.286,-0.05
1.086,-0.0615,-0.024,0.0375,0.0425,-0.0495,0.007,-0.433,-0.4035,-0.408,-0.3645,-0.2835,-0.0345
1.087,-0.053,-0.017,0.036,0.035,-0.0445,0.01,-0.444,-0.419,-0.423,-0.3815,-0.2905,-0.0445
1.088,-0.0485,-0.01,0.0385,0.029,-0.0435,0.0145,-0.4475,-0.426,-0.4345,-0.3945,-0.304,-0.057
1.089,-0.052,-0.016,0.036,0.034,-0.044,0.0105,-0.447,-0.4325,-0.4445,-0.404,-0.306,-0.0555
1.09,-0.0505,-0.0215,0.029,0.0355,-0.04,0.0045,-0.4505,-0.4405,-0.4535,-0.4125,-0.309,-0.0655
1.091,-0.0655,-0.0245,0.041,0.0445,-0.053,0.0085,-0.4445,-0.441,-0.4515,-0.4105,-0.308,-0.0555
1.092,-0.0675,-0.025,0.042,0.046,-0.0545,0.0085,-0.4395,-0.441,-0.4515,-0.409,-0.3005,-0.0485
1.093,-0.063,-0.022,0.041,0.042,-0.052,0.01,-0.436,-0.4375,-0.4475,-0.4055,-0.2985,-0.051
1.094,-0.0705,-0.027,0.0435,0.0485,-0.057,0.0085,-0.4235,-0.4295,-0.439,-0.399,-0.297,-0.0515
1.095,-0.0755,-0.038,0.037,0.0565,-0.0565,-0.0005,-0.425,-0.4255,-0.438,-0.402,-0.3,-0.0615
1.096,-0.079,-0.042,0.0365,0.06,-0.058,-0.0025,-0.426,-0.431,-0.4425,-0.406,-0.306,-0.0565
1.097,-0.0825,-0.0415,0.041,0.062,-0.062,0.0,-0.4245,-0.4255,-0.441,-0.4045,-0.307,-0.05
1.098,-0.093,-0.0495,0.0435,0.071,-0.0685,-0.0025,-0.432,-0.435,-0.4545,-0.4165,-0.3125,-0.0615
1.099,-0.0895,-0.049,0.041,0.069,-0.065,-0.004,-0.4205,-0.4315,-0.453,-0.4155,-0.3175,-0.067
1.1,-0.0855,-0.0495,0.0365,0.0675,-0.061,-0.006,-0.42,-0.4245,-0.4455,-0.4095,-0.325,-0.0685
1.101,-0.0925,-0.06,0.0325,0.076,-0.0625,-0.0135,-0.427,-0.434,-0.4545,-0.4205,-0.334,-0.078
1.102,-0.1005,-0.0535,0.047,0.0765,-0.0735,-0.003,-0.4265,-0.433,-0.458,-0.425,-0.341,-0.0865
1.103,-0.1115,-0.0595,0.052,0.085,-0.0815,-0.0035,-0.427,-0.441,-0.4665,-0.429,-0.3435,-0.0905
1.104,-0.1145,-0.063,0.0515,0.0885,-0.083,-0.0055,-0.4275,-0.441,-0.47,-0.434,-0.347,-0.0975
1.105,-0.1155,-0.0595,0.056,0.0875,-0.086,-0.0015,-0.431,-0.445,-0.4725,-0.439,-0.357,-0.104
1.106,-0.119,-0.0665,0.0525,0.0925,-0.086,-0.007,-0.422,-0.4405,-0.4675,-0.433,-0.35,-0.1
1.107,-0.1225,-0.0645,0.058,0.0935,-0.0905,-0.003,-0.4135,-0.4255,-0.4575,-0.425,-0.343,-0.0975
1.108,-0.1175,-0.069,0.049,0.093,-0.083,-0.01,-0.408,-0.4215,-0.45,-0.419,-0.3385,-0.093
1.109,-0.114,-0.0675,0.0465,0.0905,-0.08,-0.0105,-0.407,-0.4205,-0.4475,-0.416,-0.3385,-0.0935
1.11,-0.12,-0.0625,0.0575,0.091,-0.0885,-0.0025,-0.4195,-0.429,-0.4565,-0.425,-0.354,-0.1005
1.111,-0.1195,-0.061,0.0585,0.09,-0.089,-0.001,-0.421,-0.431,-0.457,-0.4245,-0.347,-0.0965
1.112,-0.1265,-0.069,0.0575,0.0975,-0.092,-0.0055,-0.413,-0.422,-0.451,-0.4215,-0.344,-0.0985
1.113,-0.1385,-0.072,0.0665,0.105,-0.1025,-0.0025,-0.4155,-0.424,-0.453,-0.4245,-0.355,-0.104
1.114,-0.132,-0.074,0.058,0.103,-0.095,-0.0075,-0.4225,-0.4335,-0.4625,-0.4315,-0.3555,-0.108
1.115,-0.128,-0.085,0.043,0.106,-0.0855,-0.021,-0.4305,-0.439,-0.4665,-0.4355,-0.362,-0.116
1.116,-0.1275,-0.0775,0.05,0.1025,-0.089,-0.0135,-0.428,-0.435,-0.4635,-0.4335,-0.359,-0.1055
1.117,-0.128,-0.078,0.0505,0.103,-0.0895,-0.0135,-0.424,-0.438,-0.4655,-0.438,-0.35,-0.0985
1.118,-0.1285,-0.0765,0.052,0.1025,-0.0905,-0.012,-0.427,-0.4415,-0.4675,-0.438,-0.352,-0.107
1.119,-0.124,-0.081,0.043,0.1025,-0.084,-0.0185,-0.428,-0.442,-0.4705,-0.4395,-0.3585,-0.1085
1.12,-0.1335,-0.0995,0.0335,0.116,-0.0835,-0.033,-0.4305,-0.444,-0.475,-0.4465,-0.359,-0.1125
1.121,-0.133,-0.096,0.037,0.114,-0.085,-0.0295,-0.4255,-0.434,-0.469,-0.443,-0.353,-0.113
1.122,-0.126,-0.0895,0.037,0.107,-0.0815,-0.026,-0.419,-0.432,-0.467,-0.4445,-0.3555,-0.1145
1.123,-0.1275,-0.088,0.0395,0.107,-0.0835,-0.024,-0.417,-0.436,-0.4735,-0.445,-0.357,-0.116
1.124,-0.1305,-0.092,0.039,0.1105,-0.085,-0.026,-0.416,-0.431,-0.4695,-0.4395,-0.36,-0.1185
1.125,-0.131,-0.0985,0.0325,0.114,-0.0815,-0.0325,-0.4155,-0.432,-0.4685,-0.4465,-0.3615,-0.1235
1.126,-0.1285,-0.0925,0.036,0.11,-0.082,-0.028,-0.4185,-0.436,-0.474,-0.451,-0.3605,-0.125
1.127,-0.1245,-0.0835,0.041,0.1035,-0.0825,-0.021,-0.421,-0.4365,-0.475,-0.45,-0.3645,-0.1235
1.128,-0.1275,-0.0885,0.0395,0.1075,-0.0835,-0.024,-0.4165,-0.4385,-0.4785,-0.4535,-0.365,-0.125
1.129,-0.1265,-0.089,0.038,0.107,-0.0825,-0.0255,-0.415,-0.436,-0.474,-0.4505,-0.3655,-0.125
1.13,-0.1205,-0.086,0.0345,0.103,-0.0775,-0.0255,-0.4165,-0.435,-0.4705,-0.4475,-0.3645,-0.1225
1.131,-0.119,-0.0855,0.0335,0.102,-0.0765,-0.0255,-0.4175,-0.43,-0.465,-0.442,-0.363,-0.1215
1.132,-0.1195,-0.0985,0.021,0.1085,-0.0705,-0.0385,-0.4175,-0.4285,-0.459,-0.435,-0.357,-0.115
1.133,-0.1255,-0.104,0.021,0.114,-0.0735,-0.041,-0.4215,-0.4345,-0.462,-0.4365,-0.358,-0.1165
1.134,-0.126,-0.0915,0.035,0.1085,-0.0805,-0.028,-0.417,-0.4285,-0.4605,-0.438,-0.363,-0.12
1.135,-0.13,-0.085,0.045,0.107,-0.0875,-0.02,-0.4095,-0.427,-0.462,-0.439,-0.3655,-0.1205
1.136,-0.1285,-0.084,0.0445,0.106,-0.0865,-0.0195,-0.4095,-0.4275,-0.461,-0.438,-0.3655,-0.1195
1.137,-0.1215,-0.087,0.0345,0.1035,-0.0775,-0.026,-0.411,-0.429,-0.4625,-0.439,-0.366,-0.12
1.138,-0.12,-0.085,0.0355,0.102,-0.0775,-0.0245,-0.414,-0.4265,-0.4625,-0.4385,-0.366,-0.12
1.139,-0.125,-0.083,0.042,0.104,-0.0835,-0.02,-0.4115,-0.4325,-0.462,-0.438,-0.365,-0.12
1.14,-0.131,-0.074,0.057,0.1025,-0.094,-0.008,-0.4145,-0.4365,-0.468,-0.443,-0.3715,-0.125
1.141,-0.1305,-0.0835,0.047,0.1065,-0.089,-0.018,-0.427,-0.428,-0.469,-0.445,-0.37,-0.1245
1.142,-0.122,-0.0925,0.0295,0.1065,-0.076,-0.031,-0.4135,-0.422,-0.4625,-0.4395,-0.365,-0.121
1.143,-0.117,-0.0825,0.0345,0.0995,-0.0755,-0.024,-0.396,-0.4155,-0.457,-0.4355,-0.3655,-0.1195
1.144,-0.123,-0.081,0.042,0.102,-0.0825,-0.019,-0.403,-0.4225,-0.4575,-0.4345,-0.3645,-0.1195
1.145,-0.13,-0.085,0.0445,0.107,-0.0875,-0.02,-0.401,-0.4225,-0.457,-0.433,-0.363,-0.1185
1.146,-0.13,-0.0905,0.0395,0.1095,-0.0845,-0.0255,-0.3985,-0.4195,-0.456,-0.4345,-0.3605,-0.1145
1.147,-0.121,-0.093,0.028,0.1065,-0.0745,-0.0325,-0.396,-0.4165,-0.4525,-0.429,-0.358,-0.1145
1.148,-0.1205,-0.0935,0.0275,0.106,-0.074,-0.033,-0.394,-0.4145,-0.453,-0.43,-0.358,-0.116
1.149,-0.1235,-0.0935,0.03,0.1075,-0.077,-0.0315,-0.3965,-0.418,-0.455,-0.4345,-0.3585,-0.116
1.15,-0.124,-0.0965,0.027,0.1095,-0.0755,-0.0345,-0.4015,-0.422,-0.457,-0.4345,-0.3595,-0.119
1.151,-0.13,-0.0875,0.043,0.108,-0.0865,-0.022,-0.4135,-0.4305,-0.4645,-0.4415,-0.3685,-0.127
1.152,-0.141,-0.0835,0.057,0.1115,-0.099,-0.013,-0.4095,-0.4225,-0.461,-0.4365,-0.366,-0.1225
1.153,-0.1405,-0.0915,0.049,0.115,-0.0945,-0.021,-0.4,-0.415,-0.455,-0.431,-0.359,-0.117
1.154,-0.133,-0.0915,0.0415,0.1115,-0.087,-0.0245,-0.396,-0.4125,-0.448,-0.4265,-0.357,-0.112
1.155,-0.133,-0.0985,0.0345,0.115,-0.0835,-0.032,-0.399,-0.412,-0.446,-0.4235,-0.3535,-0.1065
1.156,-0.126,-0.1105,0.0155,0.1175,-0.071,-0.047,-0.401,-0.4155,-0.4485,-0.424,-0.35,-0.1095
1.157,-0.115,-0.1065,0.0085,0.11,-0.062,-0.049,-0.3885,-0.409,-0.4415,-0.418,-0.348,-0.113
1.158,-0.112,-0.105,0.007,0.108,-0.0595,-0.049,-0.387,-0.405,-0.4385,-0.415,-0.3505,-0.111
1.159,-0.124,-0.106,0.018,0.114,-0.071,-0.0435,-0.3875,-0.401,-0.436,-0.413,-0.352,-0.112
1.16,-0.1345,-0.1015,0.033,0.1175,-0.0835,-0.034,-0.3865,-0.4005,-0.437,-0.414,-0.363,-0.1175
1.161,-0.133,-0.099,0.034,0.1155,-0.0835,-0.0325,-0.3905,-0.4025,-0.4385,-0.4145,-0.355,-0.11
1.162,-0.1355,-0.0915,0.0435,0.113,-0.0895,-0.024,-0.3865,-0.4005,-0.435,-0.412,-0.3465,-0.1095
1.163,-0.1435,-0.087,0.0565,0.1145,-0.1,-0.015,-0.386,-0.4,-0.434,-0.4105,-0.3545,-0.112
1.164,-0.148,-0.0805,0.068,0.1135,-0.108,-0.006,-0.382,-0.396,-0.427,-0.4045,-0.354,-0.108
1.165,-0.155,-0.0575,0.097,0.1055,-0.126,0.02,-0.3665,-0.386,-0.4165,-0.3935,-0.354,-0.1045
1.166,-0.1735,-0.014,0.1595,0.0935,-0.1665,0.073,-0.3585,-0.3785,-0.4045,-0.3845,-0.353,-0.098
1.167,-0.1885,0.035,0.224,0.0765,-0.206,0.13,-0.351,-0.3775,-0.395,-0.3755,-0.354,-0.0925
1.168,-0.203,0.0675,0.2705,0.0675,-0.237,0.1695,-0.333,-0.3645,-0.3765,-0.357,-0.351,-0.083
1.169,-0.213,0.09,0.303,0.0615,-0.258,0.197,-0.315,-0.3415,-0.3505,-0.3375,-0.343,-0.063
1.17,-0.219,0.1065,0.3255,0.056,-0.2725,0.216,-0.3115,-0.333,-0.34,-0.328,-0.3375,-0.049
1.171,-0.229,0.117,0.3465,0.0555,-0.2875,0.232,-0.3015,-0.32,-0.328,-0.323,-0.342,-0.062
1.172,-0.2305,0.1215,0.352,0.0545,-0.2915,0.237,-0.2845,-0.303,-0.3135,-0.3165,-0.3485,-0.0735
1.173,-0.2405,0.1225,0.363,0.0585,-0.302,0.2435,-0.2725,-0.272,-0.286,-0.2975,-0.353,-0.0775
1.174,-0.2525,0.118,0.371,0.067,-0.3115,0.2445,-0.247,-0.225,-0.2415,-0.267,-0.3495,-0.074
1.175,-0.247,0.1275,0.375,0.0595,-0.311,0.2515,-0.228,-0.19,-0.197,-0.2215,-0.3205,-0.07
1.176,-0.2365,0.155,0.3915,0.0405,-0.314,0.2735,-0.2225,-0.1625,-0.16,-0.1855,-0.305,-0.051
1.177,-0.219,0.1685,0.3875,0.025,-0.303,0.278,-0.208,-0.126,-0.112,-0.1445,-0.274,-0.0075
1.178,-0.1835,0.1825,0.366,0.0005,-0.275,0.2745,-0.209,-0.0915,-0.055,-0.0775,-0.2015,0.0165
1.179,-0.1425,0.203,0.3455,-0.0305,-0.244,0.2745,-0.226,-0.077,-0.0155,-0.0185,-0.123,0.0615
1.18,-0.117,0.2155,0.3325,-0.0495,-0.225,0.274,-0.2365,-0.064,0.0175,0.027,-0.0525,0.1155
1.181,-0.093,0.2295,0.3225,-0.069,-0.2075,0.2765,-0.2475,-0.044,0.049,0.06,0.0025,0.15
1.182,-0.0475,0.252,0.3,-0.1025,-0.174,0.2765,-0.261,-0.014,0.0955,0.11,0.073,0.198
1.183,0.009,0.274,0.2645,-0.142,-0.1275,0.2695,-0.286,0.002,0.1395,0.168,0.1705,0.2605
1.184,0.079,0.2905,0.211,-0.185,-0.066,0.251,-0.3215,0.008,0.1785,0.2325,0.296,0.341
1.185,0.155,0.305,0.1495,-0.2305,0.003,0.2275,-0.356,0.014,0.2075,0.2935,0.428,0.424
1.186,0.2275,0.324,0.0955,-0.2765,0.0665,0.21,-0.384,0.0285,0.2555,0.3675,0.5545,0.503
1.187,0.31,0.3495,0.039,-0.33,0.1355,0.1945,-0.4055,0.059,0.329,0.4725,0.702,0.592
1.188,0.381,0.3895,0.0075,-0.3855,0.1865,0.199,-0.434,0.0665,0.3805,0.57,0.8575,0.6865
1.189,0.4475,0.43,-0.018,-0.4395,0.2325,0.2065,-0.457,0.074,0.4395,0.679,1.0085,0.779
1.19,0.5315,0.4705,-0.0615,-0.5015,0.296,0.2045,-0.491,0.0905,0.504,0.791,1.153,0.8645
1.191,0.623,0.519,-0.1045,-0.5715,0.3635,0.2075,-0.5465,0.101,0.5775,0.921,1.321,0.969
1.192,0.7145,0.57,-0.145,-0.6425,0.4295,0.2125,-0.574,0.109,0.644,1.055,1.5035,1.0855
1.193,0.8195,0.62,-0.2,-0.7205,0.5095,0.21,-0.611,0.115,0.7105,1.193,1.6755,1.189
1.194,0.924,0.6715,-0.2525,-0.7985,0.588,0.2095,-0.6495,0.133,0.801,1.3595,1.8705,1.3085
1.195,1.0025,0.7125,-0.2895,-0.858,0.646,0.2115,-0.664,0.141,0.8725,1.505,2.0265,1.406
1.196,1.084,0.7225,-0.3615,-0.904,0.723,0.1805,-0.694,0.1255,0.911,1.616,2.1535,1.473
1.197,1.1785,0.7175,-0.461,-0.949,0.82,0.1285,-0.7355,0.089,0.9095,1.679,2.2755,1.539
1.198,1.2565,0.722,-0.534,-0.99,0.8955,0.094,-0.7705,0.044,0.895,1.7255,2.3585,1.584
1.199,1.286,0.7405,-0.5455,-1.0135,0.9155,0.0975,-0.7855,0.0135,0.8875,1.7685,2.393,1.6035
1.2,1.2965,0.7365,-0.56,-1.017,0.928,0.0885,-0.816,-0.0595,0.829,1.76,2.378,1.598
1.201,1.3055,0.7195,-0.586,-1.013,0.9455,0.067,-0.85,-0.162,0.7535,1.742,2.3615,1.5915
1.202,1.3035,0.682,-0.621,-0.9935,0.962,0.0305,-0.854,-0.198,0.731,1.7325,2.297,1.556
1.203,1.291,0.6225,-0.669,-0.9575,0.98,-0.0235,-0.8535,-0.2435,0.6615,1.646,2.1525,1.4745
1.204,1.2475,0.553,-0.6945,-0.901,0.971,-0.0705,-0.8335,-0.2835,0.572,1.5095,1.9435,1.3685
1.205,1.1785,0.4715,-0.7065,-0.8255,0.9425,-0.1175,-0.797,-0.2975,0.4975,1.381,1.698,1.233
1.206,1.117,0.4025,-0.7145,-0.76,0.9155,-0.156,-0.7775,-0.3505,0.382,1.234,1.4775,1.1195
1.207,1.066,0.327,-0.739,-0.697,0.9025,-0.206,-0.748,-0.3505,0.3195,1.1285,1.2725,1.0035
1.208,1.009,0.2645,-0.744,-0.637,0.8765,-0.2395,-0.7055,-0.3385,0.2665,1.033,1.072,0.88
1.209,0.9395,0.217,-0.723,-0.579,0.8315,-0.2525,-0.67,-0.3625,0.1715,0.9005,0.8775,0.7625
1.21,0.837,0.145,-0.692,-0.4915,0.7645,-0.273,-0.6385,-0.4065,0.0345,0.7105,0.623,0.5945
1.211,0.726,0.0925,-0.6335,-0.4095,0.6795,-0.27,-0.618,-0.46,-0.1135,0.5095,0.398,0.464
1.212,0.6295,0.071,-0.5585,-0.351,0.594,-0.2435,-0.6045,-0.5105,-0.2355,0.3495,0.2745,0.3915
1.213,0.533,0.047,-0.4855,-0.2905,0.5095,-0.2195,-0.6095,-0.587,-0.3785,0.1685,0.1705,0.335
1.214,0.438,0.0405,-0.3975,-0.24,0.418,-0.1785,-0.615,-0.645,-0.4885,0.024,0.086,0.2935
1.215,0.351,0.045,-0.306,-0.1985,0.3285,-0.1305,-0.611,-0.7065,-0.5965,-0.113,0.001,0.2425
1.216,0.267,0.0405,-0.227,-0.154,0.247,-0.093,-0.633,-0.809,-0.765,-0.3135,-0.1025,0.1925
1.217,0.1805,0.0165,-0.164,-0.099,0.172,-0.0735,-0.6485,-0.8995,-0.9275,-0.536,-0.219,0.1315
1.218,0.1095,-0.009,-0.1185,-0.051,0.1145,-0.0635,-0.6385,-0.9385,-1.03,-0.7025,-0.315,0.0765
1.219,0.0685,-0.0315,-0.1005,-0.019,0.0845,-0.066,-0.6265,-0.947,-1.081,-0.795,-0.376,0.0345
1.22,0.0465,-0.057,-0.104,0.0045,0.0755,-0.08,-0.609,-0.93,-1.0865,-0.833,-0.3975,0.0155
1.221,0.034,-0.072,-0.1065,0.0185,0.071,-0.0895,-0.586,-0.892,-1.052,-0.8175,-0.3955,0.006
1.222,0.0075,-0.078,-0.0855,0.035,0.0465,-0.0815,-0.553,-0.8355,-0.9885,-0.7725,-0.385,-0.0055
1.223,-0.032,-0.081,-0.049,0.056,0.0085,-0.0645,-0.51,-0.7705,-0.9175,-0.7135,-0.369,-0.0135
1.224,-0.0505,-0.11,-0.0595,0.08,0.0045,-0.0845,-0.4955,-0.7355,-0.884,-0.701,-0.389,-0.044
1.225,-0.0555,-0.153,-0.0975,0.104,0.021,-0.125,-0.4985,-0.722,-0.8815,-0.727,-0.416,-0.077
1.226,-0.066,-0.175,-0.1085,0.1195,0.021,-0.1415,-0.494,-0.7085,-0.8715,-0.737,-0.4355,-0.1035
1.227,-0.084,-0.185,-0.101,0.1335,0.0085,-0.1425,-0.488,-0.6885,-0.852,-0.743,-0.4525,-0.126
1.228,-0.091,-0.191,-0.1,0.14,0.0045,-0.145,-0.484,-0.6745,-0.835,-0.747,-0.4675,-0.149
1.229,-0.096,-0.198,-0.1025,0.146,0.0035,-0.15,-0.474,-0.6555,-0.8075,-0.7345,-0.4765,-0.1655
1.23,-0.1035,-0.2005,-0.097,0.1515,-0.0035,-0.149,-0.45,-0.615,-0.7615,-0.7025,-0.467,-0.1655
1.231,-0.113,-0.203,-0.09,0.157,-0.0115,-0.146,-0.4235,-0.5755,-0.721,-0.672,-0.4585,-0.1675
1.232,-0.1275,-0.215,-0.0875,0.1705,-0.0205,-0.151,-0.418,-0.5485,-0.692,-0.6495,-0.459,-0.1775
1.233,-0.1295,-0.2005,-0.071,0.164,-0.0295,-0.1355,-0.402,-0.523,-0.6575,-0.617,-0.4565,-0.1855
1.234,-0.1265,-0.183,-0.056,0.154,-0.0355,-0.1195,-0.3765,-0.4985,-0.626,-0.59,-0.4475,-0.1805
1.235,-0.1215,-0.1745,-0.053,0.1475,-0.0345,-0.1135,-0.375,-0.4855,-0.602,-0.57,-0.435,-0.1695
1.236,-0.1155,-0.1655,-0.05,0.14,-0.0325,-0.1075,-0.3775,-0.4695,-0.5735,-0.5405,-0.4195,-0.1565
1.237,-0.1095,-0.1755,-0.066,0.142,-0.022,-0.1205,-0.376,-0.4415,-0.5345,-0.503,-0.3985,-0.1395
1.238,-0.1045,-0.167,-0.0625,0.135,-0.021,-0.1145,-0.3835,-0.4225,-0.5015,-0.4685,-0.379,-0.125
1.239,-0.1,-0.132,-0.032,0.115,-0.034,-0.0815,-0.3915,-0.409,-0.475,-0.444,-0.366,-0.116
1.24,-0.0885,-0.1145,-0.026,0.1015,-0.031,-0.0705,-0.39,-0.393,-0.453,-0.4275,-0.3605,-0.1125
1.241,-0.0935,-0.112,-0.0185,0.1025,-0.0375,-0.065,-0.3865,-0.386,-0.4395,-0.4185,-0.3575,-0.112
1.242,-0.099,-0.1,-0.001,0.0995,-0.049,-0.05,-0.3845,-0.38,-0.4315,-0.4135,-0.3595,-0.1095
1.243,-0.0875,-0.0935,-0.006,0.09,-0.041,-0.049,-0.392,-0.383,-0.432,-0.416,-0.361,-0.1125
1.244,-0.095,-0.086,0.0085,0.09,-0.0515,-0.0385,-0.393,-0.3885,-0.441,-0.4265,-0.3655,-0.1225
1.245,-0.1,-0.0935,0.0065,0.0965,-0.0535,-0.043,-0.3845,-0.3855,-0.4415,-0.43,-0.3715,-0.124
1.246,-0.103,-0.11,-0.007,0.106,-0.048,-0.058,-0.379,-0.372,-0.428,-0.4195,-0.3645,-0.118
1.247,-0.1115,-0.1055,0.0055,0.108,-0.0585,-0.05,-0.374,-0.3675,-0.4265,-0.421,-0.367,-0.1205
1.248,-0.099,-0.09,0.0095,0.0945,-0.0545,-0.04,-0.3825,-0.3755,-0.4295,-0.428,-0.3765,-0.1285
1.249,-0.1135,-0.0945,0.019,0.1035,-0.066,-0.0375,-0.3875,-0.378,-0.435,-0.434,-0.383,-0.1335
1.25,-0.1215,-0.112,0.0095,0.1155,-0.0655,-0.051,-0.3855,-0.38,-0.4415,-0.438,-0.3855,-0.1355
1.251,-0.1055,-0.093,0.0125,0.099,-0.059,-0.04,-0.3845,-0.3755,-0.4345,-0.4325,-0.3825,-0.134
1.252,-0.0995,-0.0765,0.023,0.0875,-0.0615,-0.0265,-0.3875,-0.381,-0.4395,-0.44,-0.388,-0.1375
1.253,-0.102,-0.0785,0.0235,0.09,-0.063,-0.0275,-0.3885,-0.3805,-0.4395,-0.4415,-0.3885,-0.1365
1.254,-0.105,-0.0735,0.0315,0.089,-0.0685,-0.021,-0.379,-0.3775,-0.4335,-0.436,-0.3865,-0.1345
1.255,-0.1015,-0.0715,0.03,0.086,-0.0655,-0.0205,-0.377,-0.3765,-0.434,-0.436,-0.3855,-0.132
1.256,-0.1115,-0.0755,0.036,0.0935,-0.074,-0.0195,-0.376,-0.3675,-0.429,-0.433,-0.389,-0.141
1.257,-0.1115,-0.079,0.0325,0.095,-0.072,-0.023,-0.3765,-0.3735,-0.431,-0.4365,-0.3955,-0.141
1.258,-0.1055,-0.083,0.0225,0.094,-0.064,-0.03,-0.377,-0.373,-0.431,-0.434,-0.386,-0.132
1.259,-0.1025,-0.0915,0.0115,0.0965,-0.057,-0.04,-0.3755,-0.37,-0.4295,-0.431,-0.3805,-0.1365
1.26,-0.11,-0.0915,0.018,0.1005,-0.064,-0.0365,-0.3735,-0.3685,-0.427,-0.4295,-0.3805,-0.131
1.261,-0.119,-0.0865,0.033,0.1025,-0.076,-0.0265,-0.377,-0.3695,-0.428,-0.431,-0.3825,-0.134
1.262,-0.113,-0.085,0.028,0.0985,-0.0705,-0.028,-0.3785,-0.373,-0.4315,-0.4355,-0.3835,-0.135
1.263,-0.114,-0.088,0.026,0.101,-0.07,-0.031,-0.372,-0.368,-0.427,-0.4325,-0.3825,-0.1325
1.264,-0.1155,-0.096,0.019,0.1055,-0.067,-0.0385,-0.373,-0.3755,-0.433,-0.438,-0.3865,-0.1375
