I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.101,-0.031,0.069,0.066,-0.085,0.019,0.258,0.293,0.41,0.163,-0.165,-0.182
-0.13,-0.045,0.085,0.088,-0.107,0.02,0.303,0.35,0.474,0.172,-0.203,-0.192
-0.127,-0.037,0.09,0.082,-0.109,0.027,0.25,0.41,0.544,0.188,-0.234,-0.222
-0.132,-0.042,0.091,0.087,-0.112,0.024,0.241,0.42,0.552,0.19,-0.259,-0.228
-0.129,-0.04,0.089,0.084,-0.109,0.025,0.257,0.399,0.545,0.209,-0.244,-0.213
-0.13,-0.044,0.086,0.087,-0.108,0.021,0.234,0.382,0.516,0.238,-0.193,-0.197
-0.103,-0.018,0.085,0.06,-0.094,0.033,0.192,0.317,0.433,0.227,-0.131,-0.155
-0.054,0.029,0.083,0.012,-0.069,0.056,0.155,0.257,0.358,0.209,-0.066,-0.107
-0.053,0.007,0.06,0.023,-0.057,0.034,0.121,0.193,0.27,0.181,-0.036,-0.079
-0.048,-0.011,0.037,0.029,-0.042,0.012,0.084,0.132,0.198,0.148,0.001,-0.04
0.012,0.03,0.018,-0.021,-0.004,0.024,0.051,0.108,0.157,0.117,0.027,-0.01
0.016,0.02,0.004,-0.018,0.006,0.012,0.034,0.07,0.115,0.092,0.023,-0.016
-0.004,-0.008,-0.004,0.007,0.0,-0.006,0.033,0.045,0.085,0.076,0.02,-0.024
0.009,-0.003,-0.012,-0.003,0.011,-0.007,0.028,0.047,0.069,0.06,0.017,-0.03
-0.008,-0.031,-0.023,0.02,0.007,-0.027,0.025,0.043,0.07,0.047,0.012,-0.03
-0.02,-0.049,-0.029,0.035,0.005,-0.039,0.019,0.043,0.07,0.042,0.01,-0.031
0.002,-0.042,-0.044,0.02,0.024,-0.043,0.023,0.036,0.069,0.05,0.034,-0.035
0.002,-0.048,-0.05,0.023,0.027,-0.049,0.028,0.049,0.071,0.052,0.041,-0.035
-0.009,-0.039,-0.03,0.024,0.01,-0.034,0.032,0.064,0.069,0.057,0.039,-0.033
-0.01,-0.035,-0.025,0.023,0.008,-0.03,0.044,0.068,0.083,0.073,0.042,-0.022
0.01,-0.001,-0.011,-0.004,0.01,-0.006,0.043,0.063,0.082,0.077,0.047,-0.014
0.028,0.023,-0.006,-0.025,0.016,0.008,0.036,0.064,0.072,0.115,0.059,-0.001
-0.007,-0.008,-0.001,0.008,-0.003,-0.005,0.034,0.07,0.072,0.106,0.036,0.001
-0.034,-0.004,0.03,0.019,-0.032,0.013,0.068,0.059,0.083,0.125,0.081,0.019
-0.019,0.006,0.026,0.007,-0.023,0.016,0.084,0.105,0.123,0.114,0.077,0.023
0.021,0.055,0.034,-0.038,-0.007,0.044,0.01,0.104,0.151,0.134,0.104,0.037
0.042,0.043,0.001,-0.042,0.02,0.022,0.015,0.133,0.166,0.136,0.076,0.011
0.016,0.018,0.002,-0.017,0.007,0.01,0.019,0.072,0.096,0.1,0.068,0.001
0.019,-0.001,-0.021,-0.009,0.02,-0.011,0.079,0.18,0.243,0.36,0.22,0.048
0.075,0.187,0.113,-0.131,-0.019,0.15,-0.195,-0.39,-0.562,0.369,0.821,0.356
0.393,0.433,0.041,-0.413,0.175,0.237,-1.038,-1.728,-2.209,0.019,1.931,1.104
0.748,0.262,-0.487,-0.505,0.617,-0.112,-1.357,-1.805,-2.544,-1.346,0.944,1.126
0.437,0.149,-0.288,-0.293,0.362,-0.069,-1.089,-1.553,-2.214,-2.404,-0.866,0.421
-0.02,-0.092,-0.072,0.056,0.026,-0.081,-0.497,-0.972,-1.183,-1.238,-0.711,-0.01
-0.063,-0.234,-0.171,0.149,0.054,-0.202,0.017,-0.052,-0.055,-0.171,-0.244,-0.132
-0.069,-0.088,-0.019,0.078,-0.025,-0.053,0.059,0.037,0.083,0.028,-0.093,-0.082
-0.078,-0.127,-0.05,0.102,-0.013,-0.088,0.091,0.093,0.163,0.096,-0.077,-0.093
-0.075,-0.111,-0.036,0.093,-0.019,-0.073,0.081,0.101,0.169,0.068,-0.087,-0.098
-0.082,-0.114,-0.031,0.099,-0.025,-0.073,0.088,0.105,0.175,0.11,-0.055,-0.095
-0.079,-0.12,-0.04,0.1,-0.019,-0.08,0.122,0.145,0.202,0.108,-0.081,-0.111
-0.084,-0.107,-0.022,0.096,-0.031,-0.064,0.114,0.138,0.209,0.13,-0.062,-0.125
-0.076,-0.109,-0.032,0.093,-0.022,-0.07,0.158,0.18,0.27,0.129,-0.075,-0.141
-0.074,-0.087,-0.014,0.081,-0.03,-0.05,0.168,0.174,0.281,0.135,-0.069,-0.131
-0.099,-0.098,0.001,0.099,-0.05,-0.048,0.174,0.185,0.299,0.136,-0.089,-0.136
-0.106,-0.094,0.012,0.1,-0.059,-0.04,0.174,0.186,0.3,0.133,-0.121,-0.145
-0.106,-0.101,0.004,0.104,-0.055,-0.048,0.188,0.232,0.341,0.137,-0.145,-0.163
-0.14,-0.093,0.047,0.117,-0.094,-0.023,0.285,0.295,0.408,0.134,-0.182,-0.189
-0.118,-0.037,0.081,0.077,-0.099,0.022,0.309,0.343,0.47,0.141,-0.221,-0.218
-0.127,-0.049,0.078,0.088,-0.102,0.015,0.278,0.401,0.523,0.148,-0.271,-0.245
-0.138,-0.057,0.081,0.098,-0.11,0.012,0.289,0.41,0.532,0.153,-0.304,-0.259
-0.112,-0.033,0.079,0.072,-0.095,0.022,0.285,0.408,0.536,0.163,-0.281,-0.251
-0.13,-0.048,0.082,0.089,-0.106,0.017,0.266,0.377,0.508,0.183,-0.25,-0.238
-0.111,-0.015,0.096,0.063,-0.104,0.04,0.226,0.302,0.442,0.177,-0.182,-0.188
-0.074,0.01,0.084,0.032,-0.079,0.047,0.18,0.252,0.369,0.165,-0.094,-0.122
-0.045,0.017,0.062,0.014,-0.054,0.039,0.14,0.192,0.275,0.154,-0.047,-0.08
-0.036,0.012,0.048,0.012,-0.042,0.029,0.096,0.14,0.201,0.132,-0.004,-0.047
-0.025,0.006,0.03,0.009,-0.028,0.018,0.056,0.095,0.148,0.108,0.02,-0.029
-0.006,0.009,0.015,-0.002,-0.011,0.012,0.043,0.06,0.11,0.078,0.023,-0.025
-0.011,-0.01,0.001,0.01,-0.006,-0.004,0.04,0.055,0.081,0.066,0.02,-0.025
-0.011,-0.014,-0.003,0.013,-0.004,-0.009,0.034,0.055,0.057,0.06,0.015,-0.025
-0.017,-0.034,-0.018,0.026,0.001,-0.026,0.03,0.054,0.061,0.052,0.014,-0.025
-0.009,-0.045,-0.036,0.027,0.014,-0.041,0.025,0.056,0.059,0.044,0.007,-0.026
-0.008,-0.035,-0.027,0.022,0.01,-0.031,0.025,0.054,0.06,0.036,0.006,-0.024
-0.016,-0.034,-0.018,0.025,0.002,-0.026,0.025,0.053,0.068,0.043,0.01,-0.026
-0.008,-0.015,-0.007,0.012,-0.001,-0.011,0.026,0.05,0.06,0.049,0.029,-0.024
0.01,0.017,0.006,-0.014,0.002,0.011,0.031,0.07,0.09,0.062,0.037,-0.025
-0.008,0.015,0.023,-0.004,-0.016,0.019,0.03,0.073,0.088,0.055,0.03,-0.025
-0.051,-0.032,0.019,0.042,-0.034,-0.007,0.027,0.07,0.091,0.06,0.026,-0.022
-0.036,-0.015,0.021,0.025,-0.028,0.003,0.054,0.094,0.125,0.089,0.032,-0.02
-0.038,0.005,0.043,0.016,-0.041,0.024,0.095,0.108,0.144,0.131,0.081,-0.007
0.019,0.053,0.034,-0.036,-0.008,0.043,0.081,0.145,0.178,0.126,0.059,-0.012
0.028,0.077,0.049,-0.052,-0.011,0.063,0.03,0.128,0.169,0.174,0.105,0.006
-0.05,-0.022,0.028,0.036,-0.039,0.003,0.049,0.121,0.156,0.152,0.068,-0.006
-0.04,0.014,0.054,0.013,-0.047,0.034,0.026,0.072,0.121,0.146,0.088,0.017
-0.02,0.006,0.026,0.007,-0.024,0.016,0.09,0.201,0.271,0.386,0.228,0.048
0.106,0.234,0.128,-0.17,-0.011,0.181,-0.221,-0.444,-0.615,0.422,0.911,0.386
0.461,0.439,-0.022,-0.45,0.242,0.208,-1.07,-1.721,-2.209,0.043,1.932,1.107
0.764,0.208,-0.556,-0.486,0.66,-0.173,-1.36,-1.763,-2.533,-1.526,0.68,1.023
0.406,0.119,-0.287,-0.262,0.346,-0.084,-1.065,-1.534,-2.189,-2.413,-0.949,0.328
-0.036,-0.107,-0.071,0.071,0.018,-0.089,-0.433,-0.876,-1.049,-1.083,-0.651,-0.084
-0.031,-0.192,-0.161,0.112,0.065,-0.176,0.032,-0.012,-0.006,-0.13,-0.248,-0.177
-0.052,-0.051,0.0,0.052,-0.026,-0.025,0.038,0.036,0.075,0.026,-0.099,-0.113
-0.068,-0.082,-0.014,0.075,-0.027,-0.048,0.065,0.091,0.155,0.075,-0.089,-0.13
-0.09,-0.085,0.006,0.088,-0.048,-0.039,0.071,0.089,0.151,0.063,-0.098,-0.124
-0.08,-0.08,0.0,0.08,-0.04,-0.04,0.093,0.102,0.169,0.107,-0.078,-0.123
-0.065,-0.072,-0.007,0.069,-0.028,-0.039,0.111,0.129,0.205,0.095,-0.094,-0.128
-0.083,-0.083,0.0,0.084,-0.041,-0.041,0.116,0.141,0.222,0.128,-0.073,-0.122
-0.065,-0.076,-0.011,0.071,-0.027,-0.043,0.13,0.176,0.245,0.13,-0.085,-0.133
-0.077,-0.066,0.011,0.072,-0.044,-0.028,0.122,0.159,0.25,0.129,-0.082,-0.139
-0.083,-0.056,0.027,0.069,-0.055,-0.014,0.131,0.18,0.273,0.135,-0.109,-0.153
-0.108,-0.063,0.045,0.086,-0.076,-0.009,0.135,0.18,0.276,0.134,-0.134,-0.148
-0.122,-0.087,0.036,0.104,-0.079,-0.025,0.169,0.224,0.328,0.135,-0.145,-0.157
-0.123,-0.06,0.062,0.091,-0.092,0.001,0.261,0.289,0.394,0.151,-0.172,-0.183
-0.143,-0.045,0.099,0.094,-0.121,0.027,0.281,0.343,0.458,0.162,-0.204,-0.202
-0.125,-0.02,0.105,0.072,-0.115,0.042,0.237,0.403,0.51,0.165,-0.232,-0.211
-0.122,-0.016,0.105,0.069,-0.113,0.044,0.235,0.414,0.51,0.171,-0.254,-0.21
-0.133,-0.029,0.105,0.08,-0.119,0.038,0.235,0.408,0.496,0.185,-0.24,-0.2
-0.125,-0.02,0.105,0.072,-0.114,0.042,0.235,0.378,0.491,0.203,-0.194,-0.188
-0.118,-0.012,0.106,0.064,-0.112,0.047,0.202,0.305,0.431,0.191,-0.143,-0.162
-0.083,0.011,0.094,0.036,-0.089,0.052,0.142,0.252,0.348,0.177,-0.09,-0.119
-0.041,0.031,0.072,0.005,-0.057,0.051,0.097,0.203,0.278,0.163,-0.04,-0.071
-0.008,0.044,0.053,-0.018,-0.031,0.048,0.071,0.156,0.211,0.143,-0.001,-0.029
0.007,0.047,0.04,-0.027,-0.017,0.044,0.054,0.107,0.158,0.115,0.005,-0.014
-0.025,0.012,0.037,0.006,-0.031,0.024,0.033,0.073,0.111,0.087,-0.003,-0.016
-0.04,-0.008,0.032,0.024,-0.036,0.012,0.03,0.063,0.071,0.069,-0.008,-0.015
-0.006,0.022,0.028,-0.008,-0.018,0.025,0.03,0.05,0.055,0.056,-0.016,-0.015
-0.05,-0.024,0.026,0.036,-0.038,0.001,0.026,0.044,0.055,0.06,-0.022,-0.015
-0.053,-0.031,0.022,0.042,-0.038,-0.005,0.025,0.046,0.053,0.059,-0.024,-0.013
-0.002,0.019,0.021,-0.009,-0.012,0.02,0.024,0.051,0.046,0.061,-0.011,-0.007
-0.012,0.003,0.015,0.004,-0.013,0.009,0.026,0.059,0.063,0.06,-0.004,-0.003
0.028,0.044,0.016,-0.037,0.006,0.03,0.031,0.049,0.082,0.06,0.008,0.002
0.01,0.026,0.017,-0.018,-0.004,0.021,0.028,0.052,0.087,0.07,0.023,0.007
-0.008,0.017,0.025,-0.005,-0.017,0.021,0.027,0.047,0.085,0.069,0.023,0.009
0.008,0.034,0.026,-0.021,-0.009,0.029,0.021,0.04,0.091,0.088,0.027,0.019
-0.027,0.008,0.035,0.009,-0.031,0.021,0.04,0.069,0.093,0.077,0.012,0.023
-0.002,0.066,0.068,-0.033,-0.035,0.067,0.112,0.095,0.113,0.121,0.065,0.039
0.032,0.081,0.049,-0.057,-0.009,0.065,0.104,0.132,0.154,0.123,0.062,0.04
0.03,0.083,0.053,-0.056,-0.012,0.068,0.021,0.121,0.14,0.139,0.093,0.066
0.034,0.059,0.025,-0.047,0.004,0.042,0.026,0.152,0.135,0.115,0.062,0.045
0.046,0.064,0.018,-0.055,0.014,0.041,0.019,0.095,0.104,0.122,0.071,0.045
0.022,0.032,0.01,-0.027,0.006,0.02,0.099,0.205,0.247,0.379,0.221,0.089
0.073,0.214,0.141,-0.144,-0.034,0.177,-0.217,-0.462,-0.666,0.376,0.849,0.421
0.437,0.438,0.002,-0.438,0.217,0.22,-1.09,-1.828,-2.318,0.036,1.89,1.155
0.751,0.191,-0.561,-0.471,0.656,-0.185,-1.398,-1.859,-2.626,-1.453,0.776,1.097
0.423,0.117,-0.305,-0.27,0.364,-0.094,-1.115,-1.596,-2.267,-2.418,-0.887,0.423
-0.013,-0.052,-0.039,0.032,0.014,-0.046,-0.478,-0.955,-1.142,-1.142,-0.645,0.031
-0.05,-0.196,-0.146,0.123,0.048,-0.17,0.036,-0.024,-0.027,-0.138,-0.245,-0.103
-0.054,-0.059,-0.005,0.057,-0.025,-0.032,0.06,0.052,0.09,0.049,-0.095,-0.041
-0.062,-0.09,-0.028,0.076,-0.016,-0.059,0.093,0.118,0.175,0.103,-0.069,-0.052
-0.051,-0.063,-0.012,0.057,-0.019,-0.037,0.099,0.119,0.181,0.084,-0.08,-0.052
-0.092,-0.093,-0.001,0.093,-0.045,-0.047,0.103,0.114,0.187,0.119,-0.058,-0.046
-0.093,-0.1,-0.007,0.096,-0.043,-0.053,0.122,0.161,0.226,0.119,-0.082,-0.055
-0.087,-0.072,0.016,0.079,-0.052,-0.028,0.123,0.164,0.238,0.15,-0.06,-0.045
-0.097,-0.088,0.01,0.092,-0.054,-0.039,0.132,0.179,0.256,0.144,-0.077,-0.059
-0.079,-0.073,0.006,0.076,-0.042,-0.034,0.135,0.182,0.273,0.143,-0.077,-0.058
-0.099,-0.086,0.013,0.092,-0.056,-0.036,0.17,0.225,0.324,0.151,-0.085,-0.064
-0.126,-0.073,0.053,0.099,-0.09,-0.01,0.176,0.228,0.341,0.161,-0.113,-0.07
-0.124,-0.062,0.061,0.093,-0.093,0.0,0.205,0.263,0.371,0.158,-0.136,-0.069
-0.144,-0.058,0.085,0.101,-0.114,0.013,0.279,0.307,0.409,0.147,-0.177,-0.089
-0.143,-0.052,0.091,0.097,-0.117,0.019,0.269,0.379,0.485,0.143,-0.216,-0.113
-0.132,-0.049,0.083,0.091,-0.107,0.016,0.235,0.432,0.547,0.132,-0.249,-0.132
-0.137,-0.037,0.1,0.087,-0.119,0.031,0.252,0.418,0.55,0.136,-0.282,-0.148
-0.152,-0.053,0.099,0.102,-0.125,0.023,0.254,0.41,0.551,0.178,-0.255,-0.139
-0.148,-0.06,0.088,0.104,-0.118,0.014,0.259,0.398,0.518,0.201,-0.208,-0.109
-0.119,-0.038,0.081,0.078,-0.1,0.021,0.226,0.356,0.445,0.186,-0.154,-0.046
-0.092,-0.013,0.079,0.052,-0.086,0.033,0.163,0.28,0.367,0.179,-0.079,0.007
-0.062,0.019,0.081,0.021,-0.071,0.049,0.126,0.211,0.286,0.166,-0.025,0.05
-0.023,0.03,0.053,-0.004,-0.039,0.041,0.089,0.165,0.215,0.148,0.015,0.084
-0.006,0.01,0.016,-0.002,-0.011,0.012,0.058,0.126,0.152,0.128,0.031,0.092
-0.006,-0.007,-0.001,0.006,-0.002,-0.004,0.04,0.09,0.116,0.114,0.03,0.107
0.019,0.014,-0.005,-0.016,0.012,0.004,0.04,0.075,0.087,0.093,0.045,0.128
0.02,0.01,-0.009,-0.015,0.014,0.0,0.04,0.075,0.063,0.057,0.034,0.137
-0.024,-0.038,-0.014,0.031,-0.005,-0.025,0.04,0.075,0.06,0.048,0.019,0.134
-0.031,-0.05,-0.019,0.041,-0.006,-0.034,0.04,0.075,0.059,0.052,0.019,0.135
0.003,-0.015,-0.018,0.007,0.01,-0.016,0.04,0.074,0.074,0.055,0.016,0.136
-0.01,-0.023,-0.013,0.017,0.001,-0.018,0.037,0.074,0.094,0.058,0.011,0.134
-0.019,-0.026,-0.007,0.022,-0.005,-0.017,0.032,0.067,0.09,0.07,0.011,0.143
-0.004,-0.011,-0.006,0.008,0.001,-0.009,0.032,0.084,0.096,0.074,0.015,0.15
-0.016,-0.014,0.002,0.015,-0.009,-0.006,0.024,0.084,0.078,0.064,0.038,0.155
-0.007,-0.007,0.0,0.007,-0.004,-0.003,0.031,0.091,0.087,0.071,0.038,0.16
-0.02,-0.007,0.013,0.013,-0.016,0.003,0.06,0.106,0.119,0.087,0.047,0.156
-0.025,0.014,0.039,0.005,-0.032,0.026,0.126,0.137,0.157,0.128,0.079,0.159
-0.004,0.062,0.066,-0.029,-0.035,0.064,0.109,0.151,0.174,0.128,0.058,0.187
-0.003,0.058,0.061,-0.027,-0.032,0.059,0.034,0.122,0.198,0.191,0.098,0.215
0.002,0.038,0.036,-0.02,-0.017,0.037,0.034,0.13,0.196,0.157,0.052,0.172
-0.011,0.033,0.043,-0.011,-0.027,0.038,0.022,0.121,0.182,0.216,0.12,0.208
0.025,0.06,0.035,-0.043,-0.005,0.047,0.095,0.202,0.237,0.45,0.308,0.278
0.161,0.32,0.158,-0.241,0.001,0.239,-0.373,-0.721,-0.936,0.473,1.233,0.772
0.581,0.364,-0.217,-0.472,0.399,0.073,-1.194,-1.878,-2.433,-0.335,1.756,1.386
0.785,0.216,-0.568,-0.5,0.676,-0.176,-1.311,-1.821,-2.633,-2.162,-0.045,1.017
0.256,0.096,-0.16,-0.176,0.208,-0.031,-0.912,-1.497,-2.039,-2.255,-1.07,0.349
-0.061,-0.179,-0.117,0.12,0.028,-0.147,-0.27,-0.609,-0.706,-0.719,-0.506,-0.015
-0.028,-0.136,-0.108,0.082,0.04,-0.122,0.048,0.052,0.055,-0.065,-0.195,-0.095
-0.094,-0.06,0.033,0.077,-0.063,-0.013,0.042,0.036,0.086,0.064,-0.065,-0.084
-0.082,-0.082,0.0,0.082,-0.041,-0.041,0.082,0.111,0.172,0.071,-0.098,-0.161
-0.091,-0.06,0.031,0.075,-0.06,-0.014,0.052,0.078,0.15,0.089,-0.079,-0.179
-0.117,-0.115,0.002,0.116,-0.06,-0.056,0.079,0.111,0.175,0.106,-0.085,-0.224
-0.094,-0.082,0.012,0.088,-0.053,-0.034,0.103,0.138,0.184,0.11,-0.088,-0.218
-0.071,-0.07,0.001,0.07,-0.035,-0.034,0.11,0.154,0.225,0.144,-0.08,-0.252
-0.063,-0.062,0.001,0.063,-0.032,-0.03,0.119,0.163,0.238,0.129,-0.09,-0.28
-0.088,-0.056,0.031,0.072,-0.059,-0.012,0.111,0.16,0.253,0.139,-0.081,-0.274
-0.074,-0.047,0.027,0.061,-0.051,-0.01,0.122,0.181,0.273,0.133,-0.105,-0.297
-0.087,-0.055,0.032,0.071,-0.059,-0.011,0.132,0.192,0.282,0.135,-0.137,-0.315
-0.142,-0.082,0.06,0.112,-0.101,-0.011,0.175,0.25,0.35,0.141,-0.166,-0.363
-0.147,-0.054,0.093,0.1,-0.12,0.019,0.269,0.295,0.403,0.146,-0.18,-0.38
-0.167,-0.055,0.112,0.111,-0.139,0.028,0.264,0.357,0.475,0.17,-0.204,-0.376
-0.166,-0.053,0.112,0.109,-0.139,0.029,0.219,0.425,0.53,0.186,-0.226,-0.388
-0.149,-0.045,0.103,0.097,-0.126,0.029,0.222,0.412,0.522,0.19,-0.245,-0.388
-0.14,-0.042,0.098,0.091,-0.119,0.028,0.208,0.375,0.514,0.211,-0.215,-0.37
-0.124,-0.034,0.091,0.079,-0.107,0.028,0.205,0.344,0.48,0.216,-0.156,-0.343
-0.117,-0.032,0.085,0.074,-0.101,0.026,0.179,0.289,0.407,0.2,-0.106,-0.307
-0.092,-0.023,0.069,0.057,-0.08,0.023,0.122,0.225,0.324,0.185,-0.062,-0.252
-0.073,-0.026,0.047,0.049,-0.06,0.01,0.072,0.169,0.233,0.161,-0.016,-0.201
-0.02,0.009,0.029,0.005,-0.025,0.019,0.04,0.122,0.162,0.129,0.008,-0.188
-0.003,0.01,0.013,-0.004,-0.008,0.011,0.027,0.081,0.117,0.102,0.009,-0.182
-0.036,-0.039,-0.003,0.037,-0.016,-0.02,0.025,0.057,0.085,0.083,0.019,-0.174
-0.019,-0.039,-0.019,0.029,0.0,-0.029,0.025,0.053,0.058,0.057,0.018,-0.169
-0.012,-0.045,-0.033,0.029,0.011,-0.039,0.02,0.056,0.043,0.048,0.015,-0.162
-0.011,-0.058,-0.047,0.035,0.018,-0.053,0.02,0.054,0.045,0.051,0.016,-0.157
-0.024,-0.08,-0.056,0.053,0.016,-0.068,0.021,0.057,0.045,0.049,0.014,-0.152
-0.034,-0.086,-0.052,0.06,0.009,-0.068,0.027,0.052,0.044,0.051,0.016,-0.145
-0.027,-0.074,-0.047,0.05,0.01,-0.06,0.027,0.063,0.057,0.05,0.014,-0.141
-0.02,-0.057,-0.037,0.039,0.009,-0.047,0.024,0.068,0.051,0.08,0.03,-0.134
-0.012,-0.047,-0.035,0.03,0.011,-0.041,0.024,0.072,0.059,0.095,0.031,-0.129
-0.024,-0.047,-0.024,0.036,0.0,-0.036,0.018,0.069,0.051,0.084,0.026,-0.118
0.004,-0.017,-0.022,0.007,0.013,-0.019,0.024,0.067,0.057,0.098,0.042,-0.11
0.003,-0.001,-0.003,-0.001,0.003,-0.002,0.051,0.09,0.088,0.095,0.054,-0.1
-0.02,-0.006,0.015,0.013,-0.018,0.004,0.106,0.1,0.114,0.131,0.085,-0.07
0.016,0.013,-0.003,-0.015,0.01,0.005,0.111,0.121,0.151,0.117,0.06,-0.061
0.044,0.048,0.004,-0.046,0.02,0.026,0.03,0.1,0.136,0.157,0.11,-0.044
0.062,0.036,-0.026,-0.049,0.044,0.005,0.025,0.102,0.132,0.125,0.067,-0.049
0.07,0.058,-0.012,-0.064,0.04,0.023,0.02,0.061,0.109,0.145,0.111,-0.027
0.048,0.029,-0.02,-0.038,0.034,0.004,0.082,0.182,0.235,0.394,0.262,-0.018
0.094,0.212,0.118,-0.154,-0.012,0.165,-0.252,-0.522,-0.687,0.404,0.988,0.372
0.463,0.386,-0.077,-0.425,0.27,0.154,-1.101,-1.802,-2.293,-0.097,1.929,1.079
0.72,0.174,-0.546,-0.447,0.633,-0.186,-1.346,-1.83,-2.606,-1.757,0.503,0.936
0.316,0.069,-0.247,-0.192,0.281,-0.089,-1.001,-1.538,-2.17,-2.418,-1.035,0.235
-0.025,-0.14,-0.115,0.082,0.046,-0.127,-0.392,-0.811,-0.981,-1.002,-0.633,-0.156
-0.029,-0.204,-0.175,0.117,0.073,-0.189,0.035,0.009,0.009,-0.12,-0.228,-0.192
-0.014,-0.054,-0.039,0.034,0.013,-0.046,0.048,0.047,0.087,0.043,-0.075,-0.141
-0.006,-0.088,-0.082,0.047,0.038,-0.084,0.081,0.11,0.166,0.083,-0.072,-0.161
-0.052,-0.095,-0.043,0.073,-0.004,-0.068,0.077,0.118,0.155,0.075,-0.068,-0.145
-0.046,-0.091,-0.045,0.069,-0.001,-0.067,0.083,0.127,0.165,0.105,-0.054,-0.16
-0.059,-0.087,-0.028,0.073,-0.015,-0.058,0.105,0.135,0.191,0.102,-0.068,-0.162
-0.063,-0.072,-0.008,0.068,-0.027,-0.04,0.114,0.147,0.21,0.131,-0.045,-0.158
-0.068,-0.079,-0.011,0.074,-0.028,-0.045,0.124,0.175,0.232,0.133,-0.081,-0.162
-0.083,-0.077,0.006,0.08,-0.044,-0.035,0.124,0.17,0.257,0.128,-0.074,-0.158
-0.053,-0.065,-0.012,0.059,-0.02,-0.038,0.124,0.181,0.268,0.117,-0.111,-0.162
-0.073,-0.088,-0.015,0.081,-0.029,-0.051,0.135,0.188,0.27,0.123,-0.142,-0.168
-0.082,-0.074,0.008,0.077,-0.045,-0.032,0.188,0.257,0.351,0.143,-0.132,-0.187
-0.1,-0.05,0.05,0.075,-0.075,0.001,0.27,0.294,0.39,0.162,-0.185,-0.207
-0.088,-0.014,0.073,0.051,-0.08,0.029,0.289,0.358,0.46,0.157,-0.21,-0.222
-0.059,0.012,0.071,0.023,-0.065,0.041,0.251,0.414,0.527,0.155,-0.245,-0.233
-0.124,-0.037,0.086,0.08,-0.105,0.024,0.248,0.403,0.517,0.148,-0.301,-0.255
-0.142,-0.048,0.093,0.095,-0.117,0.022,0.255,0.403,0.514,0.16,-0.271,-0.251
-0.11,-0.027,0.083,0.068,-0.096,0.028,0.249,0.369,0.477,0.195,-0.225,-0.215
-0.084,-0.005,0.079,0.044,-0.081,0.036,0.206,0.317,0.419,0.188,-0.15,-0.165
-0.058,0.009,0.067,0.024,-0.063,0.038,0.154,0.258,0.34,0.178,-0.075,-0.108
-0.046,0.001,0.047,0.022,-0.046,0.024,0.111,0.184,0.245,0.156,-0.036,-0.068
-0.011,0.008,0.019,0.001,-0.015,0.013,0.07,0.136,0.179,0.128,0.004,-0.038
-0.012,0.001,0.013,0.005,-0.012,0.007,0.037,0.095,0.105,0.108,0.028,-0.009
-0.012,-0.026,-0.014,0.019,0.002,-0.019,0.019,0.059,0.071,0.088,0.031,0.013
0.016,-0.026,-0.043,0.005,0.03,-0.034,0.022,0.056,0.073,0.068,0.023,0.022
0.017,-0.021,-0.038,0.002,0.028,-0.029,0.019,0.054,0.06,0.049,0.02,0.019
0.005,-0.035,-0.04,0.015,0.023,-0.037,0.021,0.052,0.061,0.051,0.015,0.02
0.016,-0.024,-0.041,0.004,0.029,-0.032,0.018,0.049,0.048,0.048,0.009,0.015
0.041,-0.013,-0.054,-0.014,0.048,-0.033,0.023,0.051,0.059,0.054,0.016,0.016
0.031,-0.029,-0.059,-0.001,0.045,-0.044,0.039,0.07,0.096,0.054,0.021,0.014
0.012,-0.028,-0.04,0.008,0.026,-0.034,0.04,0.067,0.091,0.055,0.033,0.005
0.004,-0.031,-0.035,0.014,0.02,-0.032,0.048,0.074,0.101,0.06,0.027,0.004
0.034,0.01,-0.023,-0.022,0.028,-0.006,0.043,0.065,0.085,0.061,0.041,0.013
0.06,0.043,-0.017,-0.051,0.038,0.013,0.062,0.099,0.12,0.091,0.05,0.021
0.041,0.035,-0.006,-0.037,0.023,0.014,0.073,0.131,0.138,0.101,0.055,0.021
0.032,0.043,0.012,-0.038,0.009,0.027,0.111,0.135,0.146,0.125,0.09,0.029
0.04,0.068,0.027,-0.054,0.006,0.047,0.098,0.15,0.182,0.122,0.072,0.046
0.054,0.075,0.021,-0.064,0.016,0.048,0.028,0.137,0.198,0.174,0.11,0.058
0.041,0.032,-0.009,-0.037,0.025,0.012,0.041,0.134,0.197,0.114,0.045,0.037
0.04,0.037,-0.003,-0.038,0.021,0.017,0.027,0.108,0.183,0.199,0.123,0.056
0.047,0.05,0.002,-0.049,0.023,0.026,0.078,0.185,0.227,0.426,0.31,0.094
0.157,0.296,0.138,-0.227,0.009,0.217,-0.388,-0.707,-0.941,0.372,1.245,0.622
0.575,0.392,-0.183,-0.483,0.379,0.104,-1.176,-1.771,-2.343,-0.287,1.913,1.264
0.691,0.152,-0.539,-0.421,0.615,-0.194,-1.267,-1.651,-2.446,-1.989,0.1,0.889
0.212,0.029,-0.184,-0.121,0.198,-0.078,-0.868,-1.377,-1.924,-2.213,-1.065,0.209
-0.035,-0.177,-0.141,0.106,0.053,-0.159,-0.247,-0.566,-0.663,-0.711,-0.496,-0.084
