time ,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
2.236,-0.058,-0.003,0.055,0.03,-0.056,0.026,0.055,0.093,0.032,0.012,-0.023,0.025
2.238,-0.054,0.001,0.055,0.026,-0.054,0.028,0.059,0.098,0.036,0.015,-0.02,0.025
2.24,-0.05,0.005,0.055,0.022,-0.053,0.03,0.08,0.115,0.04,0.015,-0.02,0.025
2.242,-0.054,0.001,0.055,0.026,-0.054,0.028,0.085,0.12,0.044,0.031,-0.02,0.029
2.244,-0.058,-0.003,0.055,0.03,-0.056,0.026,0.085,0.12,0.045,0.04,-0.02,0.03
2.246,-0.062,-0.007,0.055,0.034,-0.058,0.024,0.085,0.12,0.045,0.04,-0.02,0.03
2.248,-0.066,-0.011,0.055,0.038,-0.06,0.022,0.085,0.121,0.045,0.04,-0.019,0.03
2.25,-0.07,-0.015,0.055,0.042,-0.062,0.02,0.085,0.125,0.045,0.04,-0.015,0.03
2.252,-0.074,-0.019,0.055,0.046,-0.064,0.018,0.085,0.125,0.045,0.04,-0.015,0.03
2.254,-0.079,-0.024,0.055,0.051,-0.067,0.015,0.085,0.124,0.045,0.04,-0.015,0.029
2.256,-0.079,-0.024,0.055,0.051,-0.066,0.016,0.085,0.127,0.045,0.04,-0.015,0.032
2.258,-0.074,-0.019,0.055,0.046,-0.065,0.017,0.085,0.131,0.045,0.04,-0.014,0.035
2.26,-0.075,-0.02,0.055,0.047,-0.065,0.017,0.085,0.135,0.045,0.04,-0.01,0.035
2.262,-0.075,-0.021,0.055,0.047,-0.065,0.017,0.085,0.139,0.045,0.04,-0.01,0.035
2.264,-0.072,-0.017,0.055,0.044,-0.063,0.019,0.085,0.14,0.048,0.04,-0.01,0.035
2.266,-0.069,-0.014,0.055,0.041,-0.061,0.02,0.085,0.142,0.051,0.04,-0.01,0.035
2.268,-0.071,-0.015,0.056,0.043,-0.063,0.02,0.085,0.145,0.05,0.04,-0.01,0.035
2.27,-0.075,-0.015,0.06,0.045,-0.067,0.022,0.085,0.145,0.05,0.04,-0.01,0.035
2.272,-0.075,-0.015,0.06,0.045,-0.067,0.022,0.085,0.149,0.05,0.04,-0.006,0.039
2.274,-0.074,-0.015,0.059,0.045,-0.066,0.022,0.085,0.15,0.05,0.04,-0.004,0.04
2.276,-0.077,-0.015,0.062,0.046,-0.069,0.023,0.085,0.151,0.05,0.04,-0.006,0.04
2.278,-0.08,-0.015,0.065,0.047,-0.072,0.025,0.085,0.156,0.05,0.04,-0.004,0.04
2.28,-0.08,-0.015,0.065,0.047,-0.072,0.025,0.085,0.16,0.05,0.04,0.0,0.04
2.282,-0.08,-0.015,0.065,0.047,-0.072,0.025,0.085,0.164,0.05,0.04,0.0,0.04
2.284,-0.077,-0.015,0.062,0.046,-0.069,0.023,0.084,0.168,0.05,0.04,-0.001,0.04
2.286,-0.073,-0.015,0.058,0.044,-0.065,0.021,0.087,0.174,0.052,0.04,0.002,0.04
2.288,-0.069,-0.015,0.054,0.042,-0.061,0.019,0.09,0.182,0.056,0.04,0.005,0.04
2.29,-0.065,-0.015,0.05,0.04,-0.057,0.017,0.09,0.185,0.06,0.04,0.005,0.04
2.292,-0.061,-0.015,0.046,0.037,-0.053,0.016,0.094,0.185,0.064,0.04,0.005,0.04
2.294,-0.057,-0.016,0.04,0.036,-0.048,0.012,0.095,0.187,0.069,0.04,0.003,0.039
2.296,-0.053,-0.01,0.043,0.031,-0.047,0.016,0.098,0.195,0.069,0.039,0.011,0.044
2.298,-0.032,0.002,0.034,0.014,-0.033,0.018,0.107,0.208,0.072,0.042,0.029,0.059
2.3,-0.005,0.01,0.015,-0.003,-0.01,0.012,0.115,0.22,0.085,0.055,0.04,0.075
2.302,-0.03,0.022,0.052,0.004,-0.041,0.037,0.119,0.225,0.082,0.073,0.044,0.08
2.304,-0.03,0.031,0.061,-0.001,-0.046,0.046,0.12,0.223,0.074,0.073,0.048,0.079
2.306,-0.013,0.041,0.053,-0.014,-0.033,0.047,0.12,0.231,0.082,0.069,0.053,0.082
2.308,-0.002,0.053,0.055,-0.026,-0.028,0.053,0.12,0.241,0.097,0.07,0.055,0.085
2.31,0.01,0.06,0.05,-0.035,-0.02,0.055,0.12,0.235,0.095,0.065,0.055,0.085
2.312,0.007,0.057,0.05,-0.032,-0.022,0.053,0.12,0.233,0.093,0.063,0.06,0.09
2.314,0.0,0.047,0.047,-0.024,-0.023,0.046,0.119,0.25,0.109,0.079,0.059,0.088
2.316,0.019,0.065,0.046,-0.043,-0.013,0.055,0.122,0.265,0.128,0.099,0.067,0.098
2.318,0.051,0.094,0.043,-0.073,0.004,0.068,0.125,0.273,0.136,0.105,0.083,0.111
2.32,0.055,0.1,0.045,-0.078,0.005,0.072,0.125,0.285,0.14,0.11,0.095,0.115
2.322,0.035,0.126,0.092,-0.081,-0.028,0.109,0.142,0.281,0.157,0.136,0.117,0.136
2.324,0.023,0.122,0.099,-0.072,-0.038,0.111,0.144,0.279,0.159,0.14,0.116,0.139
2.326,0.015,0.101,0.086,-0.058,-0.035,0.093,0.137,0.28,0.152,0.132,0.107,0.132
2.328,0.002,0.086,0.084,-0.044,-0.041,0.085,0.134,0.28,0.149,0.129,0.104,0.129
2.33,-0.01,0.07,0.08,-0.03,-0.045,0.075,0.13,0.28,0.145,0.125,0.1,0.125
2.332,-0.021,0.055,0.076,-0.017,-0.049,0.065,0.13,0.281,0.141,0.12,0.094,0.125
2.334,-0.032,0.04,0.072,-0.004,-0.053,0.056,0.128,0.276,0.141,0.124,0.105,0.127
2.336,0.03,0.098,0.067,-0.064,-0.019,0.082,0.122,0.294,0.169,0.154,0.14,0.151
2.338,0.11,0.175,0.065,-0.143,0.022,0.12,0.12,0.317,0.198,0.184,0.169,0.179
2.34,0.1,0.17,0.07,-0.135,0.015,0.12,0.12,0.305,0.19,0.185,0.17,0.18
2.342,0.094,0.169,0.074,-0.132,0.01,0.121,0.116,0.3,0.189,0.189,0.173,0.184
2.344,0.098,0.174,0.075,-0.137,0.011,0.124,0.111,0.297,0.191,0.194,0.179,0.189
2.346,0.1,0.175,0.075,-0.138,0.012,0.125,0.11,0.293,0.188,0.196,0.18,0.19
2.348,0.101,0.176,0.075,-0.139,0.012,0.125,0.109,0.289,0.185,0.194,0.181,0.191
2.35,0.105,0.18,0.075,-0.143,0.015,0.127,0.105,0.285,0.185,0.19,0.185,0.195
2.352,0.106,0.181,0.075,-0.144,0.015,0.127,0.105,0.281,0.185,0.19,0.189,0.195
2.354,0.1,0.175,0.075,-0.138,0.012,0.125,0.106,0.274,0.185,0.191,0.193,0.195
2.356,0.09,0.165,0.075,-0.128,0.008,0.119,0.103,0.266,0.183,0.188,0.196,0.195
2.358,0.102,0.169,0.067,-0.136,0.017,0.117,0.099,0.258,0.18,0.185,0.194,0.196
2.36,0.13,0.195,0.065,-0.163,0.032,0.13,0.1,0.25,0.18,0.185,0.19,0.2
2.362,0.106,0.209,0.103,-0.158,0.002,0.156,0.101,0.242,0.18,0.185,0.186,0.205
2.364,0.097,0.205,0.109,-0.151,-0.006,0.157,0.094,0.234,0.177,0.182,0.182,0.203
2.366,0.102,0.196,0.094,-0.149,0.004,0.145,0.087,0.226,0.175,0.18,0.178,0.198
2.368,0.099,0.188,0.089,-0.144,0.005,0.139,0.084,0.218,0.175,0.18,0.174,0.194
2.37,0.095,0.18,0.085,-0.138,0.005,0.132,0.08,0.21,0.175,0.18,0.17,0.19
2.372,0.095,0.172,0.077,-0.134,0.009,0.124,0.076,0.202,0.176,0.181,0.171,0.186
2.374,0.095,0.163,0.068,-0.13,0.014,0.115,0.072,0.194,0.17,0.172,0.165,0.182
2.376,0.095,0.158,0.063,-0.126,0.015,0.11,0.068,0.186,0.161,0.16,0.156,0.178
2.378,0.096,0.153,0.058,-0.125,0.018,0.105,0.064,0.178,0.153,0.153,0.148,0.173
2.38,0.09,0.145,0.055,-0.118,0.017,0.1,0.06,0.17,0.145,0.145,0.14,0.165
2.382,0.06,0.137,0.076,-0.099,-0.008,0.106,0.06,0.167,0.137,0.137,0.132,0.157
2.384,0.053,0.132,0.08,-0.093,-0.014,0.105,0.061,0.156,0.129,0.129,0.123,0.149
2.386,0.055,0.127,0.072,-0.091,-0.009,0.099,0.058,0.145,0.121,0.121,0.118,0.141
2.388,0.048,0.118,0.069,-0.083,-0.01,0.093,0.055,0.138,0.114,0.114,0.113,0.133
2.39,0.045,0.11,0.065,-0.078,-0.01,0.087,0.055,0.13,0.11,0.11,0.105,0.125
2.392,0.046,0.106,0.061,-0.076,-0.008,0.083,0.055,0.118,0.106,0.106,0.101,0.121
2.394,0.039,0.1,0.06,-0.069,-0.011,0.079,0.056,0.109,0.105,0.102,0.098,0.115
2.396,0.032,0.09,0.059,-0.061,-0.014,0.074,0.053,0.099,0.104,0.098,0.091,0.105
2.398,0.03,0.084,0.054,-0.057,-0.012,0.069,0.05,0.096,0.099,0.094,0.083,0.099
2.4,0.03,0.08,0.05,-0.055,-0.01,0.065,0.05,0.105,0.095,0.09,0.08,0.095
2.402,0.026,0.072,0.046,-0.05,-0.01,0.059,0.05,0.098,0.096,0.091,0.077,0.087
2.404,0.021,0.063,0.043,-0.042,-0.011,0.053,0.05,0.089,0.087,0.082,0.066,0.078
2.406,0.021,0.058,0.037,-0.039,-0.008,0.047,0.048,0.081,0.075,0.071,0.056,0.073
2.408,0.008,0.053,0.045,-0.031,-0.019,0.049,0.045,0.073,0.068,0.062,0.047,0.069
2.41,-0.025,0.045,0.07,-0.01,-0.048,0.057,0.045,0.065,0.06,0.05,0.035,0.065
2.412,-0.026,0.037,0.063,-0.005,-0.045,0.05,0.045,0.057,0.048,0.042,0.027,0.061
2.414,-0.027,0.029,0.056,-0.001,-0.042,0.042,0.042,0.049,0.039,0.031,0.017,0.057
2.416,-0.031,0.022,0.053,0.004,-0.043,0.038,0.04,0.042,0.031,0.02,0.004,0.053
2.418,-0.03,0.011,0.041,0.009,-0.036,0.025,0.04,0.04,0.023,0.014,0.001,0.05
2.42,-0.055,-0.015,0.04,0.035,-0.047,0.012,0.04,0.04,0.02,0.01,0.015,0.05
2.422,-0.129,-0.038,0.092,0.084,-0.11,0.027,0.04,0.04,0.02,0.01,0.025,0.046
2.424,-0.128,-0.036,0.092,0.082,-0.11,0.028,0.037,0.037,0.02,0.011,0.02,0.042
2.426,-0.088,-0.025,0.063,0.056,-0.075,0.018,0.034,0.034,0.02,0.008,0.012,0.038
2.428,-0.073,-0.019,0.054,0.046,-0.064,0.017,0.035,0.035,0.019,0.005,0.009,0.034
2.43,-0.07,-0.015,0.055,0.042,-0.062,0.02,0.035,0.035,0.015,0.005,0.005,0.03
2.432,-0.062,-0.007,0.055,0.034,-0.058,0.024,0.035,0.031,0.015,0.005,-0.003,0.03
2.434,-0.054,0.001,0.055,0.026,-0.055,0.028,0.032,0.029,0.015,0.002,-0.008,0.027
2.436,-0.046,0.009,0.055,0.018,-0.051,0.032,0.029,0.031,0.015,-0.001,-0.012,0.024
2.438,-0.047,0.008,0.055,0.019,-0.051,0.031,0.03,0.029,0.014,0.0,-0.016,0.025
2.44,-0.06,-0.005,0.055,0.032,-0.057,0.025,0.03,0.025,0.01,0.0,-0.02,0.025
2.442,-0.073,-0.017,0.056,0.045,-0.065,0.019,0.03,0.025,0.01,-0.004,-0.02,0.025
2.444,-0.075,-0.028,0.047,0.051,-0.061,0.009,0.03,0.026,0.01,-0.006,-0.02,0.025
2.446,-0.078,-0.043,0.035,0.061,-0.056,-0.005,0.03,0.023,0.01,-0.004,-0.02,0.025
2.448,-0.078,-0.049,0.029,0.063,-0.053,-0.01,0.03,0.02,0.01,-0.006,-0.02,0.025
2.45,-0.055,-0.035,0.02,0.045,-0.037,-0.007,0.03,0.02,0.01,-0.01,-0.02,0.025
2.452,-0.032,-0.027,0.005,0.03,-0.018,-0.01,0.03,0.02,0.006,-0.01,-0.02,0.021
2.454,-0.069,-0.016,0.053,0.043,-0.061,0.019,0.03,0.017,0.005,-0.009,-0.02,0.02
2.456,-0.092,-0.006,0.086,0.048,-0.089,0.04,0.03,0.014,0.005,-0.012,-0.02,0.02
2.458,-0.07,0.003,0.073,0.033,-0.072,0.037,0.03,0.015,0.005,-0.015,-0.02,0.02
2.46,-0.06,0.015,0.075,0.022,-0.068,0.045,0.03,0.015,0.005,-0.015,-0.02,0.02
2.462,-0.051,0.024,0.075,0.013,-0.064,0.05,0.026,0.011,0.001,-0.015,-0.02,0.02
2.464,-0.052,0.023,0.075,0.014,-0.063,0.048,0.025,0.01,0.0,-0.018,-0.02,0.02
2.466,-0.058,0.018,0.075,0.02,-0.067,0.046,0.025,0.01,0.0,-0.02,-0.02,0.02
2.468,-0.06,0.014,0.074,0.023,-0.068,0.044,0.025,0.01,0.0,-0.02,-0.02,0.019
2.47,-0.06,0.01,0.07,0.025,-0.065,0.04,0.025,0.01,0.0,-0.02,-0.02,0.015
2.472,-0.064,0.006,0.07,0.029,-0.067,0.037,0.025,0.01,0.0,-0.02,-0.02,0.015
2.474,-0.065,0.005,0.07,0.03,-0.068,0.037,0.025,0.011,-0.003,-0.023,-0.02,0.015
2.476,-0.066,0.004,0.07,0.031,-0.069,0.037,0.025,0.008,-0.005,-0.026,-0.02,0.015
2.478,-0.071,-0.001,0.07,0.036,-0.07,0.034,0.025,0.005,-0.006,-0.025,-0.02,0.015
2.48,-0.075,-0.005,0.07,0.04,-0.072,0.032,0.025,0.005,-0.01,-0.025,-0.02,0.015
2.482,-0.079,-0.009,0.07,0.044,-0.075,0.031,0.025,0.005,-0.01,-0.025,-0.018,0.015
2.484,-0.081,-0.014,0.067,0.047,-0.074,0.026,0.025,0.005,-0.013,-0.024,-0.033,0.015
2.486,-0.077,-0.013,0.064,0.045,-0.07,0.026,0.025,0.005,-0.015,-0.027,-0.04,0.015
2.488,-0.085,-0.02,0.065,0.052,-0.075,0.023,0.025,0.005,-0.016,-0.03,-0.034,0.014
2.49,-0.105,-0.04,0.065,0.072,-0.085,0.012,0.025,0.005,-0.02,-0.03,-0.035,0.01
2.492,-0.088,-0.023,0.065,0.055,-0.076,0.021,0.025,0.001,-0.02,-0.03,-0.031,0.01
2.494,-0.059,0.006,0.066,0.026,-0.062,0.036,0.025,0.0,-0.023,-0.031,-0.029,0.01
2.496,-0.064,-0.001,0.063,0.032,-0.063,0.03,0.025,0.0,-0.026,-0.028,-0.032,0.01
2.498,-0.107,-0.048,0.06,0.078,-0.083,0.006,0.025,0.0,-0.024,-0.034,-0.044,0.01
2.5,-0.135,-0.075,0.06,0.105,-0.097,-0.007,0.025,0.0,-0.02,-0.05,-0.06,0.01
2.502,-0.088,-0.028,0.06,0.058,-0.074,0.016,0.024,0.0,-0.02,-0.047,-0.057,0.01
2.504,-0.02,0.04,0.06,-0.01,-0.041,0.05,0.028,0.001,-0.021,-0.044,-0.054,0.01
2.506,-0.014,0.045,0.059,-0.016,-0.037,0.052,0.029,-0.003,-0.018,-0.046,-0.055,0.01
2.508,-0.071,-0.009,0.062,0.04,-0.067,0.026,0.024,-0.013,-0.015,-0.044,-0.055,0.01
2.51,-0.105,-0.045,0.06,0.075,-0.082,0.007,0.02,-0.02,-0.015,-0.04,-0.055,0.01
2.512,-0.068,-0.038,0.03,0.053,-0.048,-0.004,0.025,-0.016,-0.015,-0.04,-0.055,0.01
2.514,-0.096,-0.031,0.066,0.063,-0.081,0.018,0.05,-0.012,-0.012,-0.04,-0.055,0.011
2.516,-0.122,-0.029,0.093,0.075,-0.107,0.032,0.061,-0.008,-0.009,-0.04,-0.055,0.008
2.518,-0.083,-0.023,0.06,0.053,-0.071,0.018,0.054,-0.005,-0.01,-0.039,-0.054,0.005
2.52,-0.065,-0.015,0.05,0.04,-0.057,0.017,0.055,-0.005,-0.01,-0.035,-0.05,0.005
2.522,-0.117,-0.011,0.106,0.064,-0.112,0.047,0.055,-0.001,-0.006,-0.035,-0.05,0.005
2.524,-0.108,-0.005,0.102,0.056,-0.105,0.048,0.055,0.004,-0.004,-0.036,-0.05,0.005
2.526,-0.072,-0.009,0.063,0.041,-0.067,0.027,0.053,0.005,-0.006,-0.033,-0.05,0.005
2.528,-0.072,-0.024,0.048,0.048,-0.06,0.012,0.05,0.006,-0.004,-0.03,-0.05,0.005
2.53,-0.07,-0.03,0.04,0.05,-0.055,0.005,0.05,0.01,0.0,-0.03,-0.05,0.005
2.532,-0.043,-0.015,0.028,0.029,-0.035,0.006,0.05,0.014,0.0,-0.03,-0.05,0.005
2.534,-0.051,0.004,0.055,0.023,-0.053,0.029,0.051,0.016,-0.001,-0.031,-0.051,0.005
2.536,-0.076,-0.005,0.071,0.04,-0.074,0.033,0.048,0.013,0.002,-0.028,-0.048,0.005
2.538,-0.096,-0.038,0.058,0.067,-0.077,0.01,0.045,0.01,0.005,-0.025,-0.045,0.005
2.54,-0.115,-0.06,0.055,0.087,-0.085,-0.002,0.045,0.01,0.005,-0.025,-0.045,0.005
2.542,-0.108,-0.057,0.051,0.082,-0.079,-0.002,0.045,0.011,0.005,-0.025,-0.045,0.005
2.544,-0.101,-0.054,0.047,0.077,-0.074,-0.003,0.045,0.007,0.002,-0.025,-0.045,0.008
2.546,-0.098,-0.056,0.042,0.076,-0.069,-0.007,0.045,0.005,0.0,-0.025,-0.045,0.011
2.548,-0.095,-0.054,0.041,0.075,-0.068,-0.006,0.044,0.005,-0.001,-0.024,-0.045,0.01
2.55,-0.085,-0.05,0.035,0.067,-0.06,-0.007,0.04,0.005,-0.005,-0.02,-0.045,0.01
2.552,-0.054,-0.05,0.004,0.051,-0.029,-0.023,0.04,0.013,-0.005,-0.02,-0.045,0.014
2.554,-0.129,-0.051,0.078,0.09,-0.103,0.014,0.04,0.018,-0.008,-0.02,-0.046,0.015
2.556,-0.171,-0.047,0.125,0.109,-0.148,0.039,0.04,0.024,-0.011,-0.02,-0.043,0.015
2.558,-0.125,-0.038,0.087,0.081,-0.106,0.024,0.039,0.032,-0.009,-0.02,-0.04,0.015
2.56,-0.105,-0.03,0.075,0.067,-0.09,0.022,0.035,0.035,-0.005,-0.02,-0.04,0.015
2.562,-0.097,-0.026,0.071,0.061,-0.083,0.022,0.035,0.035,-0.005,-0.02,-0.036,0.019
2.564,-0.089,-0.02,0.07,0.054,-0.079,0.024,0.035,0.035,-0.005,-0.017,-0.035,0.021
2.566,-0.081,-0.01,0.071,0.046,-0.075,0.03,0.035,0.035,-0.005,-0.014,-0.033,0.019
2.568,-0.073,-0.004,0.069,0.038,-0.071,0.032,0.035,0.035,-0.005,-0.015,-0.029,0.021
2.57,-0.065,0.0,0.065,0.032,-0.065,0.032,0.035,0.035,-0.005,-0.015,-0.03,0.025
2.572,-0.057,0.008,0.065,0.024,-0.061,0.036,0.031,0.035,-0.001,-0.015,-0.031,0.025
2.574,-0.05,0.016,0.066,0.016,-0.058,0.04,0.029,0.035,0.0,-0.016,-0.027,0.025
2.576,-0.039,0.024,0.063,0.007,-0.051,0.043,0.031,0.035,0.0,-0.013,-0.025,0.025
2.578,-0.028,0.032,0.06,-0.002,-0.044,0.046,0.029,0.035,0.0,-0.01,-0.024,0.026
2.58,-0.025,0.035,0.06,-0.005,-0.043,0.047,0.03,0.035,0.0,-0.01,-0.02,0.03
2.582,-0.024,0.031,0.056,-0.004,-0.04,0.043,0.051,0.035,0.0,-0.01,-0.02,0.03
2.584,-0.028,0.027,0.055,0.0,-0.042,0.041,0.054,0.035,-0.001,-0.01,-0.017,0.03
2.586,-0.03,0.023,0.053,0.004,-0.042,0.038,0.049,0.035,0.002,-0.01,-0.015,0.03
2.588,-0.03,0.02,0.05,0.005,-0.04,0.035,0.05,0.035,0.005,-0.01,-0.015,0.029
2.59,-0.03,0.02,0.05,0.005,-0.04,0.035,0.05,0.035,0.005,-0.01,-0.015,0.025
2.592,-0.029,0.016,0.046,0.006,-0.038,0.031,0.046,0.035,0.005,-0.014,-0.019,0.025
2.594,-0.034,0.011,0.045,0.011,-0.04,0.028,0.044,0.035,0.005,-0.015,-0.02,0.022
2.596,-0.033,0.01,0.043,0.011,-0.038,0.026,0.046,0.035,0.005,-0.015,-0.02,0.019
2.598,-0.03,0.01,0.04,0.01,-0.035,0.025,0.044,0.035,0.006,-0.015,-0.02,0.02
2.6,-0.035,0.005,0.04,0.015,-0.038,0.022,0.04,0.035,0.01,-0.015,-0.02,0.02
2.602,-0.036,0.0,0.036,0.018,-0.036,0.017,0.04,0.035,0.01,-0.015,-0.024,0.016
2.604,-0.031,0.004,0.035,0.013,-0.033,0.019,0.041,0.035,0.01,-0.015,-0.025,0.014
2.606,-0.047,-0.014,0.033,0.03,-0.04,0.009,0.038,0.035,0.01,-0.015,-0.025,0.016
2.608,-0.066,-0.037,0.03,0.052,-0.047,-0.003,0.035,0.035,0.01,-0.015,-0.025,0.014
2.61,-0.055,-0.025,0.03,0.04,-0.042,0.002,0.035,0.035,0.01,-0.015,-0.025,0.01
2.612,-0.046,-0.02,0.026,0.033,-0.036,0.002,0.035,0.035,0.01,-0.015,-0.025,0.01
2.614,-0.042,-0.017,0.025,0.029,-0.033,0.004,0.032,0.035,0.007,-0.015,-0.028,0.011
2.616,-0.037,-0.013,0.024,0.025,-0.03,0.006,0.029,0.035,0.004,-0.015,-0.031,0.008
2.618,-0.027,-0.009,0.018,0.018,-0.022,0.004,0.03,0.035,0.005,-0.015,-0.03,0.005
2.62,-0.025,-0.005,0.02,0.015,-0.022,0.007,0.03,0.035,0.005,-0.015,-0.03,0.005
2.622,-0.051,-0.001,0.05,0.025,-0.05,0.024,0.026,0.035,0.005,-0.015,-0.03,0.001
2.624,-0.052,0.003,0.055,0.025,-0.054,0.029,0.024,0.035,0.005,-0.015,-0.033,-0.001
2.626,-0.04,0.007,0.047,0.016,-0.044,0.027,0.026,0.035,0.005,-0.015,-0.036,0.001
2.628,-0.033,0.011,0.044,0.011,-0.039,0.027,0.024,0.034,0.005,-0.015,-0.035,-0.001
2.63,-0.025,0.015,0.04,0.005,-0.033,0.027,0.02,0.035,0.005,-0.015,-0.035,-0.005
2.632,-0.015,0.021,0.036,-0.003,-0.026,0.028,0.02,0.052,0.005,-0.015,-0.035,-0.005
2.634,-0.021,0.009,0.031,0.006,-0.026,0.02,0.02,0.054,0.005,-0.014,-0.034,-0.004
2.636,-0.039,-0.007,0.032,0.023,-0.035,0.012,0.02,0.049,0.005,-0.018,-0.037,-0.007
2.638,-0.035,-0.018,0.017,0.026,-0.025,0.0,0.021,0.05,0.005,-0.028,-0.04,-0.01
2.64,-0.025,-0.03,-0.005,0.028,-0.01,-0.017,0.025,0.05,0.005,-0.035,-0.04,-0.01
2.642,-0.088,-0.044,0.044,0.066,-0.066,0.0,0.025,0.046,0.005,-0.031,-0.04,-0.01
2.644,-0.098,-0.04,0.058,0.069,-0.078,0.009,0.025,0.044,0.005,-0.029,-0.04,-0.007
2.646,-0.078,-0.032,0.046,0.055,-0.062,0.006,0.025,0.046,0.005,-0.03,-0.04,-0.004
2.648,-0.073,-0.028,0.044,0.05,-0.059,0.008,0.025,0.044,0.005,-0.03,-0.04,-0.005
2.65,-0.06,-0.02,0.04,0.04,-0.05,0.01,0.025,0.04,0.005,-0.03,-0.04,-0.005
2.652,-0.052,-0.016,0.036,0.034,-0.043,0.01,0.025,0.04,0.005,-0.03,-0.04,-0.005
2.654,-0.042,-0.01,0.033,0.026,-0.037,0.011,0.022,0.041,0.005,-0.03,-0.04,-0.005
2.656,-0.027,-0.001,0.026,0.014,-0.026,0.012,0.019,0.038,0.004,-0.03,-0.04,-0.005
2.658,-0.031,-0.002,0.029,0.016,-0.03,0.013,0.02,0.035,0.006,-0.029,-0.04,-0.005
2.66,-0.07,-0.015,0.055,0.042,-0.062,0.02,0.02,0.035,0.015,-0.025,-0.04,-0.005
2.662,-0.096,-0.023,0.073,0.059,-0.084,0.025,0.02,0.035,0.025,-0.025,-0.04,-0.001
2.664,-0.107,-0.034,0.073,0.07,-0.09,0.02,0.02,0.032,0.02,-0.025,-0.04,0.0
2.666,-0.113,-0.046,0.068,0.079,-0.091,0.011,0.02,0.029,0.012,-0.025,-0.04,0.0
2.668,-0.114,-0.05,0.064,0.081,-0.089,0.007,0.02,0.03,0.009,-0.025,-0.04,0.0
2.67,-0.105,-0.045,0.06,0.075,-0.082,0.007,0.02,0.03,0.005,-0.025,-0.04,0.0
2.672,-0.101,-0.045,0.056,0.073,-0.078,0.005,0.02,0.026,0.001,-0.025,-0.04,0.0
2.674,-0.094,-0.042,0.052,0.068,-0.073,0.005,0.02,0.024,-0.003,-0.026,-0.04,0.0
2.676,-0.088,-0.039,0.048,0.063,-0.068,0.004,0.02,0.025,-0.008,-0.023,-0.04,0.0
2.678,-0.084,-0.04,0.043,0.061,-0.064,0.001,0.02,0.024,-0.008,-0.02,-0.04,0.0
2.68,-0.075,-0.04,0.035,0.057,-0.055,-0.002,0.02,0.02,0.005,-0.02,-0.04,0.0
2.682,-0.063,-0.036,0.027,0.049,-0.044,-0.004,0.02,0.016,0.015,-0.02,-0.04,0.0
2.684,-0.054,-0.035,0.019,0.044,-0.036,-0.008,0.02,0.015,0.01,-0.02,-0.04,0.0
2.686,-0.044,-0.033,0.011,0.038,-0.027,-0.011,0.02,0.014,0.003,-0.02,-0.04,0.0
2.688,-0.033,-0.029,0.003,0.031,-0.018,-0.013,0.02,0.009,-0.002,-0.02,-0.04,0.0
2.69,-0.025,-0.03,-0.005,0.028,-0.01,-0.017,0.02,0.005,-0.01,-0.02,-0.04,0.0
2.692,-0.016,-0.031,-0.014,0.024,-0.001,-0.022,0.02,0.004,-0.015,-0.02,-0.036,0.0
2.694,-0.014,-0.024,-0.01,0.02,-0.002,-0.017,0.02,0.01,-0.012,-0.019,-0.035,0.0
2.696,-0.017,-0.017,-0.001,0.017,-0.008,-0.009,0.019,0.019,-0.009,-0.022,-0.035,0.0
2.698,-0.021,-0.014,0.007,0.017,-0.014,-0.004,0.022,0.027,-0.01,-0.025,-0.035,0.0
2.7,-0.025,-0.01,0.015,0.017,-0.02,0.002,0.03,0.035,-0.01,-0.025,-0.035,0.0
2.702,-0.025,-0.002,0.023,0.013,-0.024,0.01,0.026,0.044,-0.01,-0.025,-0.035,0.0
2.704,-0.028,0.003,0.031,0.012,-0.029,0.017,0.024,0.042,-0.011,-0.025,-0.032,0.0
2.706,-0.032,0.008,0.04,0.012,-0.037,0.024,0.025,0.04,-0.008,-0.025,-0.029,0.0
2.708,-0.036,0.009,0.045,0.013,-0.04,0.026,0.025,0.039,-0.005,-0.025,-0.03,0.0
2.71,-0.04,0.0,0.04,0.02,-0.04,0.02,0.025,0.035,-0.005,-0.025,-0.03,0.0
2.712,-0.048,-0.008,0.04,0.028,-0.044,0.016,0.025,0.035,-0.005,-0.025,-0.03,0.0
2.714,-0.056,-0.016,0.04,0.036,-0.048,0.012,0.025,0.036,-0.005,-0.025,-0.03,0.0
2.716,-0.063,-0.023,0.04,0.043,-0.051,0.008,0.025,0.033,-0.006,-0.025,-0.03,0.0
2.718,-0.064,-0.024,0.04,0.044,-0.052,0.007,0.025,0.03,-0.003,-0.025,-0.029,0.0
2.72,-0.06,-0.02,0.04,0.04,-0.05,0.01,0.025,0.03,0.01,-0.025,-0.025,0.0
2.722,-0.061,-0.02,0.04,0.04,-0.051,0.01,0.025,0.03,0.024,-0.022,-0.025,0.0
2.724,-0.054,-0.017,0.037,0.035,-0.046,0.01,0.025,0.027,0.023,-0.015,-0.025,0.0
2.726,-0.047,-0.014,0.033,0.03,-0.04,0.009,0.025,0.024,0.02,-0.019,-0.025,0.0
2.728,-0.044,-0.015,0.029,0.03,-0.036,0.006,0.024,0.025,0.019,-0.034,-0.025,0.0
